"kills","assists","damageDealt","timeSurvived","wins","cluster"
3359,1427,539404.25,2710818,185,"2"
0,0,0,0,0,"1"
13774,2329,1779166.1,3578452.5,418,"4"
53,0,4734.999,3344,1,"1"
6602,244,773406.8,1387626.8,147,"2"
0,0,0,0,0,"1"
10756,2832,1506050.8,3612569.2,529,"4"
0,0,0,0,0,"1"
2445,424,354595.25,1347137.8,57,"2"
0,0,0,0,0,"1"
793,19,97664.14,410875.25,9,"1"
34,14,4546.1953,34166.523,2,"1"
3638,1106,558615.6,2731652,149,"2"
0,0,0,0,0,"1"
1579,432,226195.11,871319.5,63,"2"
0,0,0,0,0,"1"
3531,69,433299.6,1065510.5,101,"2"
0,0,0,0,0,"1"
2041,704,304183.25,1027140.25,147,"2"
5113,1399,732618.6,2747843.5,155,"2"
104,20,16536.799,33961,1,"1"
687,0,80125.83,260434.97,18,"1"
4,0,565.2214,1256,0,"1"
18142,5315,2638615.5,10640058,749,"3"
208,74,35209.234,108394.78,8,"1"
2,0,58.837425,207,0,"1"
427,143,60108.37,265761.12,19,"1"
29,0,2468.8433,4419.919,0,"1"
162,0,19038.592,80031.06,2,"1"
351,40,32358.295,56109,22,"1"
339,210,54948.86,341896.22,24,"1"
0,0,0,0,0,"1"
707,207,98541.016,356793.06,29,"1"
0,0,0,0,0,"1"
13,0,1989.5168,7818.8516,1,"1"
0,0,0,0,0,"1"
891,371,137433.72,534124.2,40,"1"
0,0,0,0,0,"1"
84,25,12796.276,35237,5,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
1514,340,224071.3,515398.72,47,"1"
0,0,0,0,0,"1"
667,112,100617.31,265963,9,"1"
20,0,2121.3442,5160.568,1,"1"
1082,0,121745.24,230645.19,18,"1"
112,39,21178.658,88917.234,3,"1"
4175,1303,643435.25,1644955.5,93,"2"
0,0,0,0,0,"1"
2604,388,350807.44,791492.06,101,"2"
0,0,0,0,0,"1"
662,18,74512.45,147355.31,32,"1"
0,0,0,0,0,"1"
7517,1838,1013088.9,2693890,436,"4"
0,0,0,0,0,"1"
2152,562,299910.75,633125.1,62,"2"
0,0,0,0,0,"1"
176,11,22335.707,78891.99,2,"1"
0,0,0,0,0,"1"
5211,1795,753769.3,1717479,215,"2"
0,0,0,0,0,"1"
3915,708,590542,1806998.8,92,"2"
0,0,0,0,0,"1"
581,5,79269.48,234575.47,8,"1"
0,0,0,0,0,"1"
5457,1452,828173.4,2511655.5,170,"2"
0,0,0,0,0,"1"
2209,499,352342.38,1345679.5,31,"2"
23,3,3480.7625,29580.59,0,"1"
1813,134,254828.52,1028180.5,13,"1"
0,0,0,0,0,"1"
2610,816,437741.72,2056795.1,59,"2"
0,0,0,0,0,"1"
1803,415,260909,729654.2,48,"1"
0,0,0,0,0,"1"
562,29,75894.63,205479.03,13,"1"
0,0,0,0,0,"1"
6235,2286,948961.56,2834702.5,451,"4"
0,0,0,0,0,"1"
136,21,17022.402,57195.03,3,"1"
3,0,455.4235,3963,0,"1"
1,0,208.31952,3611,0,"1"
0,0,0,0,0,"1"
1566,545,264664.03,1020778.2,58,"2"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
4600,1629,678128.44,2392221.2,663,"4"
183,52,25877.678,155881.3,4,"1"
593,127,89791.1,237933.14,9,"1"
62,9,8128.801,41681.453,0,"1"
121,3,15697.524,37047.96,5,"1"
85,28,14912.778,79953.67,3,"1"
5100,1404,791150.1,1190215.5,89,"2"
0,0,0,0,0,"1"
4618,1236,718012.7,3705337.5,250,"2"
7,0,1070.6465,9378,0,"1"
210,7,27302.67,237241.5,10,"1"
0,0,0,0,0,"1"
4293,1664,696353,3062619,226,"2"
12,4,1071.1094,6087,0,"1"
251,51,39935.234,133345.52,5,"1"
2,0,230.53566,968,0,"1"
18,0,2162.915,19899.188,0,"1"
705,79,63768.203,127338.35,41,"1"
20897,8498,3524814.5,11382645,591,"3"
0,0,0,0,0,"1"
1138,254,159782.55,491394,32,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
51,15,7564.4126,26454.07,0,"1"
2737,891,393132.28,1306871.8,143,"2"
0,0,0,0,0,"1"
12,2,1707.7253,6934,1,"1"
0,0,0,0,0,"1"
1,0,400.9018,5367,0,"1"
15,2,2041.1487,9571,1,"1"
417,94,53545.94,217815,27,"1"
0,0,0,0,0,"1"
1918,352,267678.44,738152.7,38,"1"
0,0,0,0,0,"1"
240,8,29824.89,79571.4,1,"1"
93,21,11944.5,25732.35,5,"1"
4133,1106,621490.9,1735634.9,155,"2"
0,0,0,0,0,"1"
831,159,128281.195,540839.25,21,"1"
24,0,2515.5413,21580.816,0,"1"
187,8,26707.56,112019.19,3,"1"
137,17,12947.851,21105.652,9,"1"
3816,1199,619735.94,2250767.5,186,"2"
322,79,46394.24,138475.89,5,"1"
2532,538,340823.47,730744.6,50,"2"
739,44,90885.445,238006.4,9,"1"
3393,219,445293.75,865510.94,38,"2"
1278,158,142300.92,270761.25,40,"1"
7323,1589,970183,1598482.4,216,"2"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
18,0,1656.819,3440.332,1,"1"
31,3,5159.6313,27674.738,0,"1"
0,0,0,0,0,"1"
2155,1001,352606.6,1868288.9,176,"2"
0,0,0,750,0,"1"
3478,463,440790.06,930503.94,44,"2"
2,0,200,3171.765,0,"1"
882,31,102747.49,199474.55,15,"1"
30,4,2213.748,1888,1,"1"
3697,761,495734.97,1017180.9,99,"2"
