cluster,accountId,assists,boosts,dBNOs,dailyKills,dailyWins,damageDealt,days,headshotKills,heals,killPoints,kills,longestKill,longestTimeSurvived,losses,maxKillStreaks,mostSurvivalTime,rankPoints,rankPointsTitle,revives,rideDistance,roadKills,roundMostKills,roundsPlayed,suicides,swimDistance,teamKills,timeSurvived,top10s,vehicleDestroys,walkDistance,weaponsAcquired,weeklyKills,weeklyWins,winPoints,wins,level,season
3,account.6d93bdb465e9479fb0a939dee9f979d4,120,616,289,5,0,38131.96,37,52,553,0,330,605.29626,1640,290,3,1640,0,NA,68,1036414,51,8,300,12,1864.751,7,300374,188,10,318728.66,1898,6,0,0,17,Beginner,n-5
2,account.21a17884375a42348dcd3bf2f6e16594,168,734,589,35,1,81440.81,23,149,466,0,674,505.5915,1588,128,5,1588,0,NA,87,216009.95,6,21,155,1,875.87256,3,143872,85,8,195143.66,1110,35,1,0,32,Pro,n-5
4,account.f76a7420b3ec47fda08888ed6f98a815,33,390,143,4,0,19760.277,11,24,249,0,139,445.17587,1573,116,2,1573,0,NA,23,174786.61,10,11,120,1,782.9083,0,87206,40,5,69051.61,673,4,0,0,4,Intermediate,n-5
3,account.89812960ea3d4188be0d2a57b3f0fb70,0,0,0,0,1,0,1,0,0,0,0,0,753,1,0,753,0,NA,0,0,0,0,1,1,0,0,753,1,0,142.4477,4,0,1,0,1,Beginner,n-5
2,account.27c03a1e9af847e89982aca5c60a6519,114,815,1106,26,3,135223.2,60,349,334,0,1591,465.92456,1696,107,6,1696,0,NA,55,800139.8,274,29,183,3,1148.05,4,196912,147,13,219616.95,1424,26,3,0,93,Pro,n-5
3,account.56f5a2aa9bcb49c09e615981b1d61221,26,184,61,2,0,8081.794,13,13,149,0,54,291.9137,1580,65,3,1580,0,NA,14,68937.92,0,8,66,2,1.4972388,1,51396,27,0,47780.04,357,2,0,0,4,Beginner,n-5
3,account.20c8ead590214c15922e1586c0835265,3,5,8,6,0,805.61523,1,0,6,0,6,254.2742,1251,3,1,1251,0,NA,0,5254.654,1,3,3,0,39.08823,0,3217,2,0,6310.2354,17,6,0,0,0,Beginner,n-5
3,account.ae8332c30c6a487ca025b421a0a8e1a6,8,74,16,1,0,3247.4307,6,5,31,0,24,531.0732,1597,27,2,1597,0,NA,9,47628.414,0,5,28,1,66.83067,0,27814,14,1,39941.25,188,1,0,0,1,Beginner,n-5
3,account.9a2bedd4577f4155a4bdc7df0582b0ce,42,150,91,2,0,13377.545,23,39,202,0,94,532.2252,1562,83,2,1562,0,NA,21,163119.06,1,8,89,2,68.04463,1,82691,53,3,180969.31,501,8,1,0,10,Beginner,n-5
1,account.3e11fa5f7a194c2c9b9d5ceaed6ba06c,290,887,960,31,1,135701.97,50,262,1006,0,1146,652.884,1663,400,6,1663,0,NA,146,650963.25,77,30,426,10,1826.6301,14,328803,168,25,422967.47,2747,31,1,0,37,Good,n-5
4,account.dc474405f5dc46be9c9e72a37943b9d7,222,1177,546,5,1,79940.03,60,149,1650,0,611,462.0956,1664,876,4,1664,0,NA,201,1928324.4,23,12,932,44,3454.7532,4,968587,583,4,1192023.9,3732,5,1,0,73,Intermediate,n-5
4,account.28986a2538cb40beb4d7813aafaeb58a,69,165,159,4,0,22785.783,38,28,304,0,188,384.78613,1645,210,4,1645,0,NA,41,548482.8,31,7,219,3,1146.9073,4,200030,119,5,245359.66,1348,4,0,0,17,Intermediate,n-5
4,account.d6285562a3b94fba93a3f69360e850a9,85,667,246,9,1,32903.785,25,67,308,0,286,379.82724,1641,173,3,1641,0,NA,53,381550.8,18,12,192,8,1188.7086,7,177222,99,5,222170.97,1365,9,1,0,26,Intermediate,n-5
4,account.6a0a1453c8e34004be98cb3196d929a9,295,1442,830,8,1,129683.38,59,228,1908,0,856,435.56906,1734,776,4,1734,0,NA,276,1413065.8,44,11,833,22,2689.681,7,805062,461,6,1039999,3608,8,1,0,71,Intermediate,n-5
4,account.c1f31cd376944282ae35c2d05ebcf410,223,553,496,6,0,68909.766,55,116,1009,0,556,501.77386,1682,433,4,1682,0,NA,157,916304.56,42,14,466,8,1840.8483,3,385847,213,23,506007.9,2001,6,0,0,47,Intermediate,n-5
2,account.174ab410879f4115bca9ce1459b27537,176,618,746,36,0,103053.37,44,196,781,0,846,462.5533,1627,527,4,1627,0,NA,121,554789.5,29,17,538,10,742.88556,3,340464,149,4,408748.72,2482,106,2,0,25,Pro,n-5
4,account.5a9355263e8c4bc4a2f84b18d815d455,124,1270,604,24,3,75800.6,39,195,535,0,798,491.48114,1676,388,4,1676,0,NA,86,915095.5,54,13,427,10,951.30554,5,388028,237,2,527167.8,2224,24,3,0,75,Intermediate,n-5
2,account.3be7aadb3e234f0db0cc98c6bfff01f6,170,406,526,1,0,79306.57,51,153,628,0,495,406.76306,1632,418,3,1632,0,NA,75,639813.7,3,10,440,10,2082.69,9,325899,144,11,375929.72,2221,1,0,0,27,Pro,n-5
3,account.f95bb837ce6048fe8f12288820138601,6,40,18,2,0,2489.474,5,2,34,0,13,279.13278,1620,23,2,1620,0,NA,3,60963.586,0,5,23,2,216.96037,1,23353,14,1,31754.262,105,2,0,0,0,Beginner,n-5
3,account.ea3b1cd5deee4e30ac6e5938032ffa32,1,14,2,0,0,671.5163,2,0,12,0,2,49.81051,1220,16,1,1220,0,NA,3,26062.809,0,1,16,0,65.34988,0,14300,4,0,18083.047,75,0,0,0,0,Beginner,n-5
2,account.8c09fb5959b54d42b28271dd21f9a280,49,151,158,1,0,22147.957,33,56,136,0,166,405.53192,1672,124,3,1672,0,NA,19,172291.67,4,10,128,1,257.37387,1,87963,38,3,118913.22,648,9,0,0,6,Pro,n-5
3,account.55d06c41172f406583a87a4eb4f64e89,4,57,27,1,1,3591.217,4,6,48,0,33,233.19467,1447,17,1,1447,0,NA,8,14127.6,0,6,17,1,0,0,13530,10,0,22533,114,1,1,0,3,Beginner,n-5
4,account.df0c5065338b4982b9cdaa0b50535b56,76,325,293,11,1,36140.98,27,81,509,0,361,397.14456,1622,161,4,1622,0,NA,49,365909.78,42,13,185,6,951.17365,2,170926,106,3,304150.06,1126,11,1,0,37,Intermediate,n-5
2,account.8e0c1265e2d2413ea47f019f6f6ed380,93,434,387,32,0,52896.84,23,100,787,0,427,473.548,1637,268,3,1637,0,NA,42,474266.94,22,17,274,5,723.23566,3,226393,99,4,256571.1,1438,92,0,0,8,Pro,n-5
4,account.f813081580e84dca840bb49f1510f895,75,782,333,7,0,48456.785,39,75,374,0,328,362.95493,1639,325,4,1639,0,NA,49,221954.75,2,8,330,5,637.6399,6,172194,57,5,230929.73,1094,7,0,0,13,Intermediate,n-5
4,account.74dbca5a37084f828cff27cc46ce719b,120,386,386,2,0,52878.168,48,82,964,0,463,334.66824,1673,383,4,1673,0,NA,71,974085.1,75,8,410,12,634.17206,1,409396,245,3,475321.03,2811,2,0,0,39,Intermediate,n-5
4,account.e6f2e56df0d4425ea3295e32bf154ae6,43,129,154,12,1,18445.307,13,46,130,0,205,501.16742,1530,36,3,1530,0,NA,12,150542.73,8,19,47,1,173.56586,0,51344,33,0,60230.29,401,51,5,0,12,Intermediate,n-5
4,account.90453bc9cc93489dbb11cea077640bfb,267,1860,895,9,1,123959.8,60,162,2352,0,994,495.79214,1684,924,5,1684,0,NA,348,1999512.1,54,13,989,24,3477.432,14,981450,559,22,1084719.8,5177,9,1,0,78,Intermediate,n-5
2,account.d9863a055ddd4cf8b192fc7a094692c3,93,444,195,7,0,32860.36,33,51,550,0,230,446.74564,1609,224,3,1609,0,NA,56,506523.9,12,8,242,3,1655.5388,2,226775,129,10,246659.75,1155,22,1,0,23,Pro,n-5
2,account.8c6fb07d71e74518b7ad18af314d4b1b,149,681,342,3,0,51479.684,56,75,419,0,393,564.5679,1673,274,5,1673,0,NA,78,827712.3,77,22,281,2,834.4012,0,261984,138,5,270978.84,1666,26,1,0,9,Pro,n-5
4,account.4789b08a6d8245ebb05ffed3a01a0227,99,410,232,1,0,33375.47,27,43,458,0,246,420.6176,1720,253,3,1720,0,NA,96,303565.44,4,8,257,5,1088.3373,3,161765,76,5,223389.4,1361,28,0,0,6,Intermediate,n-5
4,account.5a5b99c8ede74460abcaba4b8800c607,36,114,140,12,1,17410.121,13,29,78,0,166,500.64294,1527,35,3,1527,0,NA,8,169993.2,10,15,47,0,157.71576,0,51912,32,4,63249.36,344,49,5,0,12,Intermediate,n-5
4,account.e0833584f58446b29b3ab684fb87dcf6,147,330,351,0,1,49795.188,54,62,721,0,419,517.7202,1645,307,4,1645,0,NA,73,769901,35,9,331,13,2649.1697,9,327354,208,4,413191.16,2137,0,1,0,40,Intermediate,n-5
4,account.b3a518f5a29f45c4820bf470d5cee8e6,119,641,388,12,1,57531.938,50,118,638,0,437,424.4462,1622,330,3,1622,0,NA,95,683297.44,15,11,355,7,1890.1282,7,309397,172,14,415584.4,1904,12,1,0,36,Intermediate,n-5
2,account.5827bf84b19641a28c09394efb7069bb,178,999,549,5,0,77639.23,50,160,909,0,644,548.36566,1645,479,5,1645,0,NA,113,1224332.2,28,12,513,17,1059.367,9,468883,269,16,495888.12,3181,5,0,0,55,Pro,n-5
2,account.35437d5df6454ec89e996f042c7feaf4,132,798,643,38,2,84900.16,34,246,526,0,753,678.24927,1585,235,5,1585,0,NA,65,457426.47,32,23,275,9,896.7219,4,249368,142,10,350534.03,1485,38,2,0,50,Pro,n-5
4,account.0548c9b2250f445bb73693ee5e82eb56,29,240,148,14,1,21091.39,20,38,233,0,156,417.20636,1552,108,4,1552,0,NA,28,233320.25,8,9,115,6,303.53116,1,97704,47,3,101455.29,649,66,2,0,9,Intermediate,n-5
4,account.e8159f94567c45f39f5788367165c6f9,104,742,226,1,0,34474.656,30,69,538,0,273,349.89944,1623,279,3,1623,0,NA,67,464466.62,3,10,289,9,1357.6785,2,271657,169,2,380228.16,1116,1,0,0,26,Intermediate,n-5
4,account.34b5696e86ad4f9eb67b3691e9ad1ee5,104,430,474,3,2,67702.23,55,112,786,0,561,424.39664,1730,340,4,1730,0,NA,41,844822.2,42,11,370,11,1213.7286,6,379490,234,1,489378.72,1880,3,2,0,43,Intermediate,n-5
4,account.6cb6d7704ea64864aaa59b4b72828d42,82,355,216,48,6,25457.186,7,45,282,0,252,413.28162,1620,178,4,1620,0,NA,43,318785.53,13,14,190,15,636.15125,6,174708,105,9,206352.1,1044,56,7,0,29,Intermediate,n-5
4,account.5ffdf438bbbe452caee2d1b4c57b278e,200,916,457,8,0,65848.34,50,97,1498,0,495,375.81436,1667,446,3,1667,0,NA,184,820044.6,39,13,476,17,1747.8693,20,376788,205,9,426223.97,2244,58,2,0,38,Intermediate,n-5
2,account.4190376479f24f4daaaad1a1dd2ce7bd,79,1262,198,10,1,30750.95,33,31,263,0,214,378.1942,1681,198,3,1681,0,NA,56,611032.75,12,7,218,6,1251.0895,3,215058,117,2,258309.3,1304,18,2,0,22,Pro,n-5
4,account.a586290042fc4adbbe49c80685c1be54,24,138,113,22,1,15070.15,13,27,48,0,162,561.8978,1556,33,6,1556,0,NA,9,148427.84,13,13,45,2,265.82297,0,50944,33,1,58753.242,340,60,5,0,12,Intermediate,n-5
4,account.7cc60c3e96ce48ecbf1399b6edff91ef,272,1420,673,8,0,104643.73,54,153,1589,0,752,403.6717,1692,610,4,1692,0,NA,261,1451230.4,22,11,650,13,3014.3752,15,587098,334,21,691329.06,3847,54,4,0,49,Intermediate,n-5
4,account.220b988c03b6433d8d521999e54ba1d6,102,597,339,17,0,48692.734,27,77,435,0,360,451.2174,1650,260,4,1650,0,NA,51,518625.8,20,13,274,4,677.8151,4,229189,108,6,323179.94,1466,17,0,0,21,Intermediate,n-5
4,account.fb765cc60745438b8d0c85b66a1ae380,169,872,501,3,2,62331.824,48,123,645,0,555,445.52704,1702,365,4,1702,0,NA,95,1187744.6,90,11,393,11,894.52637,7,339288,183,5,366642.16,2385,11,2,0,40,Intermediate,n-5
4,account.735ee31b20c64726bd9c559e6ee1a7dd,87,670,183,6,0,25862.021,31,40,551,0,236,360.74347,1654,178,3,1654,0,NA,53,478646.25,11,8,197,11,350.61246,2,200079,123,0,234833.53,854,6,0,0,28,Intermediate,n-5
3,account.6847ce782b0443ecbd7cf2723693307e,106,526,253,1,0,37636.48,25,94,715,0,296,482.8011,1642,211,4,1642,0,NA,89,387897.34,5,8,229,12,882.66125,6,213577,123,4,377322.6,1045,85,7,0,24,Beginner,n-5
3,account.9d4dec09cc154ccc846c89cb5a027cf4,0,0,0,0,0,0,1,0,0,0,0,0,308,1,0,308,0,NA,0,0,0,0,1,0,0,0,308,0,0,0,0,0,0,0,0,Beginner,n-5
3,account.5bfcc33620394a51b6e25548c2bb78cd,39,67,113,3,1,16306.83,30,20,55,0,146,433.64316,1635,63,3,1635,0,NA,10,202092.17,25,10,67,2,11.583454,0,64033,39,3,74754.82,219,9,1,0,12,Beginner,n-5
3,account.f4c2a36d87134993bcd404ab7c946b13,0,14,2,0,0,397.3807,2,0,4,0,1,175.06055,1279,8,1,1279,0,NA,3,9043.4375,0,1,8,0,137.67996,0,5836,1,0,7209.103,56,1,0,0,0,Beginner,n-5
3,account.1c8a9d81176e4d6e84690d47a90b0c35,10,94,47,7,0,6470.9404,6,16,61,0,55,538.1027,1478,17,2,1478,0,NA,4,50654.22,2,9,20,0,22.827442,0,19572,14,2,22937.121,94,7,0,0,3,Beginner,n-5
4,account.fb222e878c8d4f2c81c1e02dc5e63661,281,1796,659,36,2,102242.69,42,192,2187,0,678,475.644,1648,567,4,1648,0,NA,228,1264850.9,16,8,597,21,2985.2808,7,535976,284,90,499714.84,4209,36,2,0,40,Intermediate,n-5
4,account.13871fd4efa24a85bd67e51092777376,50,220,116,9,0,15101.869,19,43,142,0,149,462.6327,1577,47,7,1577,0,NA,19,195722.69,2,12,62,2,339.17474,0,69914,47,3,74597.01,404,33,4,0,17,Intermediate,n-5
4,account.0b8ee01a0a8d42469dd9157d0bfba278,109,432,314,11,0,39662.332,19,62,353,0,307,157.1697,1594,237,4,1594,0,NA,73,120261.016,0,9,238,1,142.65738,1,95117,57,2,128555.3,1102,11,0,0,6,Intermediate,n-5
4,account.6bcf200c5efa4356b66dfc092d63814b,102,1489,440,10,1,68029.11,56,118,835,0,445,287.65936,1653,356,3,1653,0,NA,66,499823.9,5,11,372,8,925.84955,0,319744,158,9,386157.53,2474,10,1,0,23,Intermediate,n-5
