cluster,accountId,assists,boosts,dBNOs,dailyKills,dailyWins,damageDealt,days,headshotKills,heals,killPoints,kills,longestKill,longestTimeSurvived,losses,maxKillStreaks,mostSurvivalTime,rankPoints,rankPointsTitle,revives,rideDistance,roadKills,roundMostKills,roundsPlayed,suicides,swimDistance,teamKills,timeSurvived,top10s,vehicleDestroys,walkDistance,weaponsAcquired,weeklyKills,weeklyWins,winPoints,wins
3,account.c67c4467d0164002a72e8619e4d2c5ff,26,203,99,2,0,16615.875,37,26,292,0,131,525.9245,1687,244,3,1687,0,,24,493063.1,18,5,250,4,1495.1218,1,224952,113,3,224690.55,1157,4,0,0,8
3,account.6bb6599098f849eda841576fc690d800,4,20,7,0,0,1071.0317,3,2,18,0,5,191.15408,1454,16,1,1454,0,,6,19574.96,0,2,16,1,0,0,9249,2,0,13798.197,80,2,0,0,0
4,account.a62e6e920ba2431886d33f33768fdb2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,account.1911cec43b484191919f7c46893dbdd7,276,2188,768,0,0,112090.33,51,213,1624,0,758,452.93607,1747,703,3,1747,0,,247,1041860.75,10,15,728,17,2340.4663,14,548863,270,11,613977.94,4951,127,5,0,41
4,account.a5d236e6f3674a2ba711b8dc6beac7d6,110,537,273,8,0,37526.855,37,52,392,0,247,273.765,1650,212,3,1650,0,,80,296654.84,1,9,218,3,130.54868,4,151331,71,14,149661.12,1630,35,3,0,12
4,account.49400fb79e104b249c3540393522f526,26,220,121,20,0,16678.812,10,28,115,0,103,256.58478,1616,58,4,1616,0,,11,175534.23,6,9,59,0,13.19408,1,54011,25,3,64023.566,564,20,0,0,1
4,account.65374ff426bb4c6b9b2d5a4c9764c0e6,177,950,527,11,0,75420.875,47,129,992,0,536,266.80652,1677,433,4,1677,0,,122,452514.97,8,9,440,4,473.6063,7,270127,151,24,273494.97,3678,30,1,0,14
4,account.6c533f1093254af694b2946b4c7b85b5,343,1757,671,19,2,103721.336,57,143,1267,0,633,415.82156,1643,714,3,1643,0,,197,658180.4,0,9,734,4,1946.5247,6,496105,289,17,666123.1,4788,43,3,0,34
4,account.0c940766d17c46c0aec24b77f42e6137,106,794,871,38,2,114995.14,44,256,310,0,1219,463.59555,1571,97,7,1571,0,,34,498828.7,85,27,138,2,243.8344,2,144544,110,12,162481.92,1424,62,3,0,69
3,account.e1350b5ab1fe4906b88c3cbade04d0a3,5,20,15,0,0,2790.123,5,6,11,0,26,136.44714,1436,6,3,1436,0,,4,16152.609,11,22,7,0,0,0,5270,2,1,3544.3208,52,0,0,0,2
3,account.077c8edf6bdd4d47913526d95e4e94f5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.6791854737f746178b54129fde006c21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.175ac25d05104288b14efb548ed78449,6,34,40,34,0,5653.5923,2,7,32,0,47,164.17224,1375,12,3,1375,0,,9,7501.3013,0,9,12,0,11.5929785,0,7201,4,0,7354.2993,85,34,0,0,0
3,account.fbc1c82bba334b0c85be6f45859de974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.70e812e617904347b78a8321a85b6933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.a233b0ad0a154883857da6382288c792,1,9,0,0,0,110.215485,1,0,0,0,0,0,1068,1,0,1068,0,,0,1816.3601,0,0,1,0,0,0,1068,0,0,1108.0596,14,0,0,0,0
3,account.fdd5bb54e5e34c4f9ca5e27571fefefc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.ad18a2fbba4a42129b6d3a6700cc6efa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.ddcb5931d6f14eac87410cda2de1afe8,0,0,1,1,0,177,1,0,0,0,1,2.9115276,252,1,1,252,0,,1,0,0,1,1,0,0,0,252,0,0,173.60532,5,1,0,0,0
3,account.41bbcaa1754241a4b620fee55d73ae57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.ad9215c4cef74ac0a9fee9e9e427e1a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,account.e53aa67502964dc39ea03664b9eecf22,6,341,245,0,0,31613.654,30,63,741,0,339,263.73157,1469,67,5,1469,0,,0,58325.035,7,26,72,21,42.62721,0,63248,30,10,63868.11,499,17,0,0,5
3,account.82dc5f3a8e2147b5864d3e59e6855bfe,24,182,45,13,0,8048.8384,4,15,112,0,48,271.84753,1554,72,2,1554,0,,17,146221.66,1,7,72,4,90.18871,1,62091,25,0,89294.6,333,44,0,0,0
3,account.5fea8b31b3f345548c2e9b0261ff82ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
